DOI,Authors
10.1016/j.jinorgbio.2017.11.022,"Ng Neville S., Wu Ming J., Aldrich-Wright Janice R."
10.1021/acs.inorgchem.9b00282,"Du Qing, Guo Lihua, Ge Xingxing, Zhao Liping, Tian Zhenzhen, Liu Xicheng, Zhang Fanjun, Liu Zhe"
10.1016/j.jinorgbio.2017.07.006,"Łomzik Michał, Mazuryk Olga, Rutkowska-Zbik Dorota, Stochel Grażyna, Gros Philippe C., Brindell Małgorzata"
10.1016/j.bioorg.2019.03.048,"Pernar Margareta, Kokan Zoran, Kralj Juran, Glasovac Zoran, Tumir Lidija-Marija, Piantanida Ivo, Eljuga Domagoj, Turel Iztok, Brozovic Anamaria, Kirin Srećko I."
10.1016/j.jinorgbio.2017.02.017,"Płotek Michał, Starosta Radosław, Komarnicka Urszula K., Skórska-Stania Agnieszka, Kołoczek Przemysław, Kyzioł Agnieszka"
10.1016/j.jinorgbio.2018.03.013,"Schmitt Florian, Kasparkova Jana, Brabec Viktor, Begemann Gerrit, Schobert Rainer, Biersack Bernhard"
10.1016/j.poly.2019.03.015,"He Miao, Du Fan, Zhang Wen-Yao, Yi Qiao-Yan, Wang Yang-Jie, Yin Hui, Bai Lan, Gu Yi-Ying, Liu Yun-Jun"
10.1016/j.poly.2015.12.059,"Beloglazkina Elena K., Manzheliy Eugeniy A., Moiseeva Anna A., Maloshitskaya Olga A., Zyk Nikolai V., Skvortsov Dmitry A., Osterman Ilya A., Sergiev Petr V., Dontsova Olga A., Ivanenkov Yan A., Veselov Mark S., Majouga Alexander G."
10.1016/j.jorganchem.2017.06.017,"Chuklin Parichad, Chalermpanaphan Vachirawit, Nhukeaw Tidarat, Saithong Saowanit, Chainok Kittipong, Phongpaichit Sauwalak, Ratanaphan Adisorn, Leesakul Nararak"
10.1016/j.poly.2015.12.058,"Zhang Cheng, Zeng Chuan-Chuan, Lai Shang-Hai, Xing De-Gang, Li Wei, Han Bing-Jie, Liu Yun-Jun"
10.1039/c7tb00702g,"Zhang Jing-Xiang, Pan Mei, Su Cheng-Yong"
10.1515/znb-2017-0145,"Gichumbi Joel M., Friedrich Holger B., Omondi Bernard, Lazarus Geraldine G., Singh Moganavelli, Chenia Hafizah Y."
10.1007/s11243-018-0203-y,"Chen Jincan, Zhang Yao, Li Baojun, Li Guodong, Jie Xinming, Cui Ying, Zou Zhilin, Huang Xiaofeng, Qu Jiaoyue, Chen Lanmei"
10.1016/j.ejps.2017.01.020,"Mazuryk Olga, Krysiak-Foria Oksana, Żak Agnieszka, Suzenet Franck, Ptak-Belowska Agata, Brzozowski Tomasz, Stochel Grażyna, Brindell Małgorzata"
10.1016/j.inoche.2018.06.006,"Omondi Reinner O., Ojwach Stephen O., Jaganyi Deogratius, Fatokun Amos A."
10.1016/j.molstruc.2017.10.105,"Gilewska Agnieszka, Masternak Joanna, Kazimierczuk Katarzyna, Trynda Justyna, Wietrzyk Joanna, Barszcz Barbara"
10.1016/j.lfs.2018.10.024,"Ramírez-Rivera S., Pizarro S., Gallardo M., Gajardo F., Delgadillo A., De La Fuente-Ortega E., MacDonnell F.M., Bernal G."
10.1016/j.ica.2019.119025,"Madzivire Cecilia R., Caramés-Méndez Pablo, Pask Christopher M., Phillips Roger M., Lord Rianne M., McGowan Patrick C."
10.1016/j.ejphar.2016.05.042,"Guo Liubin, Lv Gaochao, Qiu Ling, Yang Hui, Zhang Li, Yu Huixin, Zou Meifen, Lin Jianguo"
10.1016/j.jphotochem.2017.10.007,"Audi Hassib, Azar Daniel F., Mahjoub Farah, Farhat Stephanie, El Masri Zeinab, El-Sibai Mirvat, Abi-Habib Ralph J., Khnayzer Rony S."
10.1002/aoc.4154,"Ganeshpandian Mani, Palaniandavar Mallayan, Muruganantham Amsaveni, Ghosh Swapan K., Riyasdeen Anvarbatcha, Akbarsha Mohammad Abdulkader"
10.1002/elps.201700443,"Giringer Kai, Holtkamp Hannah U., Movassaghi Sanam, Tremlett William D. J., Lam Nelson Y. S., Kubanik Mario, Hartinger Christian G."
10.1021/acs.organomet.5b00868,"Kubanik Mario, Holtkamp Hannah, Söhnel Tilo, Jamieson Stephen M. F., Hartinger Christian G."
10.1039/c7dt04451h,"Movassaghi Sanam, Hanif Muhammad, Holtkamp Hannah U., Söhnel Tilo, Jamieson Stephen M. F., Hartinger Christian G."
10.1039/c6ra02571d,"Hu Pengchao, Wang Ying, Zhang Yan, Song Hui, Gao Fangfang, Lin Hongyi, Wang Zhihao, Wei Lei, Yang Fang"
10.1016/j.jphotobiol.2016.06.004,"Zeng Chuan-Chuan, Jiang Guang-Bin, Lai Shang-Hai, Zhang Cheng, Yin Hui, Tang Bing, Wan Dan, Liu Yun-Jun"
10.1016/j.msec.2017.05.123,"Nomula Raju, Wu Xueyan, Zhao Jianzhang, Munirathnam Nagegownivari R."
10.1016/j.jphotobiol.2016.10.038,"Wan Dan, Lai Shang-Hai, Yang Hui-Hui, Tang Bing, Zhang Cheng, Yin Hui, Zeng Chuan-Chuan, Liu Yun-Jun"
10.1016/j.ica.2016.04.011,"Yano Takakazu, Hishida Shota, Nakai Misaki, Nakabayashi Yasuo"
10.1039/c7md00532f,"Qin Qi-Pin, Meng Ting, Tan Ming-Xiong, Liu Yan-Cheng, Wang Shu-Long, Zou Bi-Qun, Liang Hong"
10.1016/j.pdpdt.2017.02.001,"Li Wenna, Xie Qiang, Lai Linglin, Mo Zhentao, Peng Xiaofang, Leng Ennian, Zhang Dandan, Sun Hongxia, Li Yiqi, Mei Wenjie, Gao Shuying"
10.1016/j.jorganchem.2018.11.036,"Marszaukowski Flávia, Guimarães Ivelise Dimbarre Lao, da Silva Juliana Paula, da Silveira Lacerda Luis Henrique, de Lazaro Sergio Ricardo, de Araujo Márcio Peres, Castellen Patrícia, Tominaga Tania Toyomi, Boeré René T., Wohnrath Karen"
10.1007/s00775-019-01743-5,"Fandzloch Marzena, Dobrzańska Liliana, Jędrzejewski Tomasz, Jezierska Julia, Wiśniewska Joanna, Łakomska Iwona"
10.1016/j.eurpolymj.2019.01.074,"Wang Dan, Wang Jinquan, Huang Haien, Zhao Zizhuo, Gunatillake Pathiraja A., Hao Xiaojuan"
10.1080/00958972.2016.1235700,"Mohanraj Maruthachalam, Ayyannan Ganesan, Raja Gunasekaran, Jayabalakrishnan Chinnasamy"
10.2217/nnm-2018-0236,"Guo Bohong, Liao Cancheng, Fang Yuqi, Li Shuqi, Li Xiaofang, Lu Zhufen, Chen Yanzhong"
10.1080/07391102.2018.1528180,"Ahmad Khan Rais, Al-Lohedan Hamad A., Abul Farah Mohammad, Sajid Ali Mohd, Alsalme Ali, Mashay Al-Anazi Khalid, Tabassum Sartaj"
10.1016/j.jorganchem.2016.07.009,"Deo Claire, Wang Huan, Bogliotti Nicolas, Zang Yi, Retailleau Pascal, He Xiao-Peng, Li Jia, Xie Juan"
10.1016/j.poly.2019.04.009,"Srivastava Payal, Mishra Ramranjan, Verma Madhu, Sivakumar Sri, Patra Ashis K."
10.1016/j.poly.2017.04.026,"Jayanthi Eswaran, Venkataramana Mudili, Neethu Sankar, Bhuvanesh N.S.P., Dharmaraj Nallasamy"
10.3390/inorganics5030044,"Renier Olivier, Deacon-Price Connor, Peters Joannes, Nurekeyeva Kunsulu, Russon Catherine, Dyson Simba, Ngubane Siyabonga, Baumgartner Judith, Dyson Paul, Riedel Tina, Chiririwa Haleden, Blom Burgert"
10.1021/acs.inorgchem.9b02402,"Koch Vanessa, Meschkov Anna, Feuerstein Wolfram, Pfeifer Juliana, Fuhr Olaf, Nieger Martin, Schepers Ute, Bräse Stefan"
10.1016/j.poly.2019.05.017,"Jiang Guang-Bin, Zhang Wen-Yao, He Miao, Gu Yi-Ying, Bai Lan, Wang Yang-Jie, Yi Qiao-Yan, Du Fan"
10.1039/C6RA05867A,"Kamatchi Thangavel Sathiya, Kalaivani Palaniappan, Fronczek Frank R., Natarajan Karuppannan, Prabhakaran Rathinasabapathi"
10.1016/j.poly.2017.11.035,"Fandzloch Marzena, Dobrzańska Liliana, Jezierska Julia, Filip-Psurska Beata, Wiśniewska Joanna, Wietrzyk Joanna, Salas Juan Manuel, Łakomska Iwona"
10.1002/aoc.3652,"Vijayan Paranthaman, Viswanathamurthi Periasamy, Sugumar Paramasivam, Ponnuswamy Mondikalipudur Nanjappagounder, Malecki Jan Grzegorz, Velmurugan Krishnaswamy, Nandhakumar Raju, Balakumaran Manickam Dakshinamoorthi, Kalaichelvan Pudupalayam Thangavelu"
10.1002/aoc.3685,"Li Peiyuan, Su Wei, Lei Xiaolin, Xiao Qi, Huang Shan"
10.1007/s10895-016-1908-y,"Kumar Yata Praveen, Devi C. Shobha, Srishailam A., Deepika N., Kumar V. Ravi, Reddy P. Venkat, Nagasuryaprasad K, Singh Surya S., Nagababu Penumaka, Satyanarayana S."
10.1016/j.inoche.2016.06.020,"Zeng Chuan-Chuan, Zhang Cheng, Lai Shang-Hai, Yin Hui, Tang Bing, Wan Dan, Liu Yun-Jun"
10.1248/cpb.c15-00903,"Matsui Takahiro, Sugiyama Hiroshi, Nakai Misaki, Nakabayashi Yasuo"
10.1007/s10895-017-2091-5,"Mallepally Rajender Reddy, Chintakuntla Nagamani, Putta Venkat Reddy, K Nagasuryaprasad, Vuradi Ravi Kumar, P Madhuri, S Satyanarayana Singh, Chitumalla Ramesh Kumar, Jang Joonkyung, Penumaka Nagababu, Sirasani Satyanarayana"
10.1016/j.saa.2016.02.036,"Liu Si-Hong, Zhu Jian-Wei, Xu Hui-Hua, Wang Yan, Liu Ya-Min, Liang Jun-Bo, Zhang Gui-Qiang, Cao Di-Hua, Lin Yang-Yang, Wu Yong, Guo Qi-Feng"
10.1016/j.poly.2017.07.025,"Iizuka Naho, Nakai Misaki, Nakabayashi Yasuo"
10.5267/j.ccl.2019.4.003,"Subbaiyan Sathiyaraj, Ponnusamy Indhumathi"
10.1002/aoc.4311,"Wang Li, He Yihui, Xiang Guangya, Shang Xianmei"
10.1002/aoc.4685,"Li JuanJuan, Tian Zhenzhen, Zhang Shumiao, Xu Zhishan, Mao Xudong, Zhou Yumin, Liu Zhe"
10.1080/00958972.2018.1553298,"Nikolić Stefan, Grgurić-Šipka Sanja, Djordjević Ivana S., Dahmani Rahma, Dekanski Dragana, Vidičević Sašenka, Tošić Jelena, Mitić Dragana, Grubišić Sonja"
10.1007/s00706-019-2357-5,"Vijayan Paranthaman, Vijayapritha Subbarayan, Ruba Chidambaram, Viswanathamurthi Periasamy, Linert Wolfgang"
10.1007/s11243-016-0106-8,"Tang Bing, Han Bing-Jie, Wan Dan, Lai Shang-Hai, Wang Xiu-Zhen, Zhang Cheng, Zeng Chuan-Chuan, Liu Yun-Jun"
10.1007/s00232-016-9889-y,"Zhu Jian-Wei, Liu Si-Hong, Zhang Gui-Qiang, Xu Hui-Hua, Wang Yu-Xuan, Wu Yong, Liu Ya-Min, Wang Yan, Liang Jun-Bo, Guo Qi-Feng"
10.1016/j.ica.2017.09.056,"Zhang Pingyu, Huang Wenxiu, Wang Yi, Li Haihang, Liang Chunmei, He Chuanxin, Wang Haitao, Zhang Qianling"
10.15761/IJC.1000101,"A Beckford Floyd, Stott Alyssa, Mbarushimana P Canisius, LeBlanc Marc-Andre, Hall Kinsey, Smith Samantha, L Bullock Jimmie, J Houghton Dennis, A Holder Alvin, Gerasimchuk Nikolay, Sarrías Gonzalez, P Seeram Navindra"
10.1007/s11243-016-0096-6,"Zeng Chuan-Chuan, Zhang Cheng, Lai Shang-Hai, Tang Bing, Wan Dan, Liu Yun-Jun"
10.2298/jsc170109025b,"Baroud Afya, Mihajlovic-Lalic Ljiljana, Stankovic Dalibor, Kajzerberger Marijana, Van Hecke, Grguric-Sipka Sanja, Savic Aleksandar"
10.1080/01480545.2019.1589492,"Qasim Warraich Muhammad, Ghion Alessandra, Perdisatt Laura, O’Neill Luke, Casey Alan, O’Connor Christine"
10.1007/s11243-019-00315-5,"Liang Zhen-Hua, Wang Ya-Ning, Xiong Zhi-Wei, Chen Xiao-Yan, Tong Lin"
10.1504/ijmpt.2017.084958,"Ponnusamy Selvakumar, Ramasamy Narayanasamy"
10.14233/ajchem.2019.21990,"Devi R. Suganthi, Kumaraguru N."
10.1016/j.ica.2016.11.021,"Kasprzak M., Fabijańska M., Chęcińska L., Studzian K., Markowicz-Piasecka M., Sikora J., Mikiciuk-Olasik E., Ochocki J."
10.1021/ja3009677,"Howerton Brock S., Heidary David K., Glazer Edith C."
10.1021/ja307288s,"Pierroz Vanessa, Joshi Tanmaya, Leonidova Anna, Mari Cristina, Schur Julia, Ott Ingo, Spiccia Leone, Ferrari Stefano, Gasser Gilles"
10.1038/ncomms4462,"Adhireksan Zenita, Davey Gabriela E., Campomanes Pablo, Groessl Michael, Clavel Catherine M., Yu Haojie, Nazarov Alexey A., Yeo Charmian Hui Fang, Ang Wee Han, Dröge Peter, Rothlisberger Ursula, Dyson Paul J., Davey Curt A."
10.1016/j.biomaterials.2015.04.002,"Liu Jiangping, Chen Yu, Li Guanying, Zhang Pingyu, Jin Chengzhi, Zeng Leli, Ji Liangnian, Chao Hui"
10.1021/jm3017442,"Romero-Canelón Isolda, Salassa Luca, Sadler Peter J."
10.1039/C3DT51641E,"Ganeshpandian Mani, Loganathan Rangasamy, Suresh Eringathodi, Riyasdeen Anvarbatcha, Akbarsha Mohammad Abdulkadher, Palaniandavar Mallayan"
10.1021/om500317b,"Pettinari Riccardo, Marchetti Fabio, Condello Francesca, Pettinari Claudio, Lupidi Giulio, Scopelliti Rosario, Mukhopadhyay Suman, Riedel Tina, Dyson Paul J."
10.1021/om3007079,"Kilpin Kelly J., Clavel Catherine M., Edafe Fabio, Dyson Paul J."
10.1021/jm500455p,"Chow Mun Juinn, Licona Cynthia, Yuan Qiang Wong Daniel, Pastorin Giorgia, Gaiddon Christian, Ang Wee Han"
10.1021/ic401529u,"Almodares Zahra, Lucas Stephanie J., Crossley Benjamin D., Basri Aida M., Pask Christopher M., Hebden Andrew J., Phillips Roger M., McGowan Patrick C."
10.1002/chem.201404922,"Huang Huaiyi, Zhang Pingyu, Chen Hongmin, Ji Liangnian, Chao Hui"
10.1016/j.jinorgbio.2013.09.013,"Morais Tânia S., Santos Filipa C., Jorge Tiago F., Côrte-Real Leonor, Madeira Paulo J. Amorim, Marques Fernanda, Robalo M. Paula, Matos António, Santos Isabel, Garcia M. Helena"
10.1016/j.jinorgbio.2012.06.016,"Tomaz Ana Isabel, Jakusch Tamás, Morais Tânia S., Marques Fernanda, de Almeida Rodrigo F.M., Mendes Filipa, Enyedy Éva A., Santos Isabel, Pessoa João Costa, Kiss Tamás, Garcia M. Helena"
10.1021/ic4002626,"Guo Wei, Zheng Wei, Luo Qun, Li Xianchan, Zhao Yao, Xiong Shaoxiang, Wang Fuyi"
10.1021/om400819p,"Hackenberg Frauke, Müller-Bunz Helge, Smith Raymond, Streciwilk Wojciech, Zhu Xiangming, Tacke Matthias"
10.1021/ic401220x,"Kljun Jakob, Bratsos Ioannis, Alessio Enzo, Psomas George, Repnik Urška, Butinar Miha, Turk Boris, Turel Iztok"
10.1021/acs.jmedchem.5b00444,"Chen Zhen-Feng, Qin Qi-Pin, Qin Jiao-Lan, Zhou Jie, Li Yu-Lan, Li Nan, Liu Yan-Cheng, Liang Hong"
10.1002/anie.201309576,"Joshi Tanmaya, Pierroz Vanessa, Mari Cristina, Gemperle Lea, Ferrari Stefano, Gasser Gilles"
10.1021/jm501655t,"Clavel Catherine M., Păunescu Emilia, Nowak-Sliwinska Patrycja, Griffioen Arjan W., Scopelliti Rosario, Dyson Paul J."
10.1039/C3SC53185F,"Clavel Catherine M., Păunescu Emilia, Nowak-Sliwinska Patrycja, Dyson Paul J."
10.1039/c1dt11273b,"Kamatchi Thangavel Sathiya, Chitrapriya Nataraj, Lee Hyosun, Fronczek Chris F., Fronczek Frank R., Natarajan Karuppannan"
10.1021/om500001h,"Peña Bruno, David Amanda, Pavani Christiane, Baptista Mauricio S., Pellois Jean-Philippe, Turro Claudia, Dunbar Kim R."
10.1007/s11164-025-05556-x,"Saibaba S. L. Sathya, Swarnalatha K., Subramanian R., Durai S. C. Vella"
10.1002/ange.202505689,"Yang Jinrong, Wang Fa, Huang Shuqi, Feng Tao, Xiong Kai, Chen Yu, Chao Hui"
10.1039/d4dt02984d,"Scarpi-Luttenauer Matthieu, Galentino Katia, Orvain Christophe, Fluck Audrey, Cecchini Marco, Mellitzer Georg, Gaiddon Christian, Mobian Pierre"
10.1002/cplu.202400775,"Lenis‐Rojas Oscar A., Roma‐Rodrigues Catarina, Carvalho Beatriz, Andrade Vasco, Friães Sofia, Cabezas‐Sainz Pablo, Araujo Fernández Jhonathan Angel, Fernández Vila Sabela, Arana Álvaro J., Sanchez Laura, Baptista Pedro V., Gomes Clara S. B., Fernandes Alexandra R., Royo Beatriz"
10.1111/1440-1681.70030,"Gayen Sakuntala, Roy Souvik, Laishram Diana, Bandyopadhyay Soumendra Nath, Mukherjee Swarupananda"
10.1016/j.jinorgbio.2025.112871,"Wang Bishu, Tang Xingguo, Xiao Chuntao, Yu Zhijie, Bo Huaben, Wang Jie, Wang Jinquan"
10.1016/j.canlet.2025.217582,"Liu Peng, Zhou Shangbo, Zhou Zhijun, Jin Zihan, Chen Wei, Li Zihang, Xu Jiaqi, Chen Feng, Li You, Wen Yingfei, Zhang Shiqiang, Zhang Changhua, Li Binbin, Zhao Jing, Chen Hengxing"
10.1002/ejic.202400851,"Khan Tanveer A., Yadav Anubha, Malpani Priyal, Kumar Vinit, Sharma Anuj K."
10.3390/ph18010063,"Dias Júlia S. M., Ferreira-Silva Guilherme A., Viana Rommel B., de Araujo Neto João H., Ellena Javier, Corrêa Rodrigo S., Barbosa Marília I. F., Ionta Marisa, Doriguetto Antônio C."
10.1021/jacs.4c15036,"Abad-Montero Diego, Gandioso Albert, Izquierdo-García Eduardo, Chumillas Sergi, Rovira Anna, Bosch Manel, Jordà-Redondo Mireia, Castaño Davor, Bonelli Joaquín, Novikov Valentin V., Deyà Alba, Hernández José Luis, Galino Jorge, Alberto Marta E., Francés-Monerris Antonio, Nonell Santi, Gasser Gilles, Marchán Vicente"
10.1007/s00775-024-02090-w,"Öztürk Emine, Subaşı Elif, Kurşunluoğlu Gizem, Yüksel Betül Şen, Kayalı Hülya Ayar"
10.1002/aoc.7777,"Dhivakar P., Kalaiarasi G., Parveen S., Alyami Nouf M., Alkhattaf Fatimah S., Prasad Priya"
10.1016/j.poly.2023.116640,"Maikoo Sanam, Davison Candace, de la Mare Jo-Anne, Booysen Irvin Noel"
10.1002/cbic.202200259,"Azmanova Maria, Rafols Laia, Cooper Patricia A., Seaton Colin C., Shnyder Steven D., Pitto‐Barry Anaïs"
10.1016/j.ica.2022.120889,"Iqbal Shahid, Siddiqui Waseeq Ahmad, Ashraf Adnan, Tong Kelvin K.H., Aman Farhana, Söhnel Tilo, Jamieson Stephen M.F., Hanif Muhammad, Hartinger Christian G."
10.1021/acs.inorgchem.2c00714,"Wang Jiaoyang, Zhang Yufei, Li Yifan, Li Enbo, Ye Wenjing, Pan Jie"
10.1016/j.ica.2022.120863,"Kalaiarasi G., Mohamed Subarkhan M., Fathima Safwana C.K., Sruthi S., Sathiya Kamatchi T., Keerthana B., Ashok Kumar S.L."
10.1016/j.jorganchem.2021.121960,"Ismail Lamia A., Alfaifi Mohammad Y., Elbehairi Serag Eldin I., Elshaarawy Reda F.M., Gad Emad M., El-Sayed W.N."
10.1002/cmdc.202000096,"Soldevila‐Barreda Joan J., Azmanova Maria, Pitto‐Barry Anaïs, Cooper Patricia A., Shnyder Steven D., Barry Nicolas P. E."
10.1016/j.jinorgbio.2019.110869,"Savić Aleksandar, Gligorijević Nevenka, Aranđelović Sandra, Dojčinović Biljana, Kaczmarek Anna M., Radulović Siniša, Van Deun Rik, Van Hecke Kristof"
10.1002/chem.201903109,"Kladnik Jerneja, Kljun Jakob, Burmeister Hilke, Ott Ingo, Romero‐Canelón Isolda, Turel Iztok"
10.1039/c9dt00143c,"Haghdoost Mohammad Mehdi, Golbaghi Golara, Guard Juliette, Sielanczyk Sarah, Patten Shunmoogum A., Castonguay Annie"
10.1039/c9cc00882a,"Zeng Leli, Li Jia, Zhang Chen, Zhang Yun-Kai, Zhang Wei, Huang Juanjuan, Ashby Charles R., Chen Zhe-Sheng, Chao Hui"
10.1002/asia.201801798,"Parveen Shahida, Tong Kelvin K. H., Khawar Rauf Muhammad, Kubanik Mario, Shaheen Muhammad Ashraf, Söhnel Tilo, Jamieson Stephen M. F., Hanif Muhammad, Hartinger Christian G."
10.1007/s00775-019-01647-4,"Pavlović Marijana, Nikolić Stefan, Gligorijević Nevenka, Dojčinović Biljana, Aranđelović Sandra, Grgurić-Šipka Sanja, Radulović Siniša"
10.1002/aoc.4751,"K.S. Neethu, Eswaran Jayanthi, M. Theetharappan, Nattamai S.P Bhuvanesh, M.A. Neelakantan, Velusamy Kaveri M."
10.1016/j.jinorgbio.2018.05.009,"Kljun Jakob, León Ignacio E., Peršič Špela, Cadavid-Vargas Juan F., Etcheverry Susana B., He Weijiang, Bai Yang, Turel Iztok"
10.1016/j.jorganchem.2018.04.030,"Kalaiarasi G., Jeya Rajkumar S. Rex, Dharani S., Fronczek Frank R., Prabhakaran R."
10.1021/acs.inorgchem.8b01187,"Movassaghi Sanam, Leung Euphemia, Hanif Muhammad, Lee Betty Y. T., Holtkamp Hannah U., Tu Jason K. Y., Söhnel Tilo, Jamieson Stephen M. F., Hartinger Christian G."
10.1002/cplu.201800194,"Arshad Jahanzaib, Hanif Muhammad, Zafar Ayesha, Movassaghi Sanam, Tong Kelvin K. H., Reynisson Jóhannes, Kubanik Mario, Waseem Amir, Söhnel Tilo, Jamieson Stephen M. F., Hartinger Christian G."
10.1002/anie.201702242,"Meier Samuel M., Kreutz Dominique, Winter Lilli, Klose Matthias H. M., Cseh Klaudia, Weiss Tamara, Bileck Andrea, Alte Beatrix, Mader Johanna C., Jana Samir, Chatterjee Annesha, Bhattacharyya Arindam, Hejl Michaela, Jakupec Michael A., Heffeter Petra, Berger Walter, Hartinger Christian G., Keppler Bernhard K., Wiche Gerhard, Gerner Christopher"
10.1039/c7cc01503h,"Liu Suyan, Zheng Wei, Wu Kui, Lin Yu, Jia Feifei, Zhang Yang, Wang Zhaoying, Luo Qun, Zhao Yao, Wang Fuyi"
10.1039/c7sc00497d,"Chow Mun Juinn, Alfiean Mohammad, Pastorin Giorgia, Gaiddon Christian, Ang Wee Han"
10.1016/j.jorganchem.2016.10.033,"Prabhakaran R., Kalaivani P., Senthilkumar K., Natarajan K."
10.1016/j.jorganchem.2016.06.012,"Loughrey Bradley T., Williams Michael L., Parsons Peter G., Healy Peter C."
10.1039/C6SC00268D,"Chow Mun Juinn, Licona Cynthia, Pastorin Giorgia, Mellitzer Georg, Ang Wee Han, Gaiddon Christian"
10.1021/acs.jmedchem.5b00288,"Seršen Sara, Kljun Jakob, Kryeziu Kushtrim, Panchuk Rostyslav, Alte Beatrix, Körner Wilfried, Heffeter Petra, Berger Walter, Turel Iztok"
10.1002/cplu.201402390,"Moon Sally, Hanif Muhammad, Kubanik Mario, Holtkamp Hannah, Söhnel Tilo, Jamieson Stephen M. F., Hartinger Christian G."
10.1016/j.jorganchem.2013.08.041,"Mojić Marija, Savić Aleksandar, Arion Vladimir B., Bulatović Mirna, Poljarević Jelena M., Miljković Djordje, Sabo Tibor J., Mijatović Sanja, Maksimović-Ivanić Danijela, Grgurić-Šipka Sanja"
10.1002/chem.201202657,"Babak Maria V., Meier Samuel M., Legin Anton A., Adib Razavi Mahsa S., Roller Alexander, Jakupec Michael A., Keppler Bernhard K., Hartinger Christian G."
10.1021/acs.jmedchem.5b00451,"Cloonan Suzanne M., Elmes Robert B. P., Erby MariaLuisa, Bright Sandra A., Poynton Fergus E., Nolan Derek E., Quinn Susan J., Gunnlaugsson Thorfinnur, Williams D. Clive"
10.1021/acs.jmedchem.5b00855,"Grozav Adriana, Balacescu Ovidiu, Balacescu Loredana, Cheminel Thomas, Berindan-Neagoe Ioana, Therrien Bruno"
10.1021/om300424w,"Hudej Rosana, Kljun Jakob, Kandioller Wolfgang, Repnik Urška, Turk Boris, Hartinger Christian G., Keppler Bernhard K., Miklavčič Damijan, Turel Iztok"
10.1039/c1cc14713g,"Hanif Muhammad, Nazarov Alexey A., Legin Anton, Groessl Michael, Arion Vladimir B., Jakupec Michael A., Tsybin Yury O., Dyson Paul J., Keppler Bernhard K., Hartinger Christian G."
10.1016/j.jinorgbio.2011.08.027,"Kasper Christine, Alborzinia Hamed, Can Suzan, Kitanovic Igor, Meyer Andreas, Geldmacher Yvonne, Oleszak Melanie, Ott Ingo, Wölfl Stefan, Sheldrick William S."
10.1021/ic201801e,"Stepanenko Iryna N., Casini Angela, Edafe Fabio, Novak Maria S., Arion Vladimir B., Dyson Paul J., Jakupec Michael A., Keppler Bernhard K."
10.1002/asia.201100637,"Loughrey Bradley T., Cunning Benjamin V., Healy Peter C., Brown Christopher L., Parsons Peter G., Williams Michael L."
10.1002/ejic.200700206,"Schäfer Sven, Ott Ingo, Gust Ronald, Sheldrick William S."
10.1021/ic201704u,"Stepanenko Iryna N., Novak Maria S., Mühlgassner Gerhard, Roller Alexander, Hejl Michaela, Arion Vladimir B., Jakupec Michael A., Keppler Bernhard K."
10.1016/j.jphotobiol.2014.04.019,"Prakash Govindan, Manikandan Rajendran, Viswanathamurthi Periasamy, Velmurugan Krishnaswamy, Nandhakumar Raju"
10.1039/C4DT01032A,"Alagesan M., Sathyadevi P., Krishnamoorthy P., Bhuvanesh N. S. P., Dharmaraj N."
10.1039/c4sc00116h,"Murray Benjamin S., Menin Laure, Scopelliti Rosario, Dyson Paul J."
10.1021/om300914n,"Kalaivani P., Prabhakaran R., Poornima P., Dallemer F., Vijayalakshmi K., Padma V. Vijaya, Natarajan K."
10.1039/c3dt52584h,"Kilpin Kelly J., Crot Stéphanie, Riedel Tina, Kitchen Jonathan A., Dyson Paul J."
10.1021/om500825h,"Aman Farhana, Hanif Muhammad, Siddiqui Waseeq Ahmad, Ashraf Adnan, Filak Lukas K., Reynisson Jóhannes, Söhnel Tilo, Jamieson Stephen M. F., Hartinger Christian G."
10.1016/j.ejmech.2012.08.001,"Sathyadevi Palanisamy, Krishnamoorthy Paramasivam, Bhuvanesh Nattamai S.P., Kalaiselvi Palaniswamy, Vijaya Padma Viswanadha, Dharmaraj Nallasamy"
10.1002/chem.201502154,"Zeng Leli, Chen Yu, Huang Huaiyi, Wang Jinquan, Zhao Donglei, Ji Liangnian, Chao Hui"
10.1016/j.ejmech.2013.03.015,"Xie Yang-Yin, Huang Hong-Liang, Yao Jun-Hua, Lin Gan-Jian, Jiang Guang-Bin, Liu Yun-Jun"
10.1039/c5dt00169b,"Lv Gaochao, Guo Liubin, Qiu Ling, Yang Hui, Wang Tengfei, Liu Hong, Lin Jianguo"
10.1021/acs.jmedchem.5b00403,"Florindo Pedro R., Pereira Diane M., Borralho Pedro M., Rodrigues Cecília M. P., Piedade M. F. M., Fernandes Ana C."
10.1002/chem.201300814,"Ye Rui‐Rong, Ke Zhuo‐Feng, Tan Cai‐Ping, He Liang, Ji Liang‐Nian, Mao Zong‐Wan"
10.1016/j.ejca.2013.05.018,"Heffeter Petra, Atil Bihter, Kryeziu Kushtrim, Groza Diana, Koellensperger Gunda, Körner Wilfried, Jungwirth Ute, Mohr Thomas, Keppler Bernhard K., Berger Walter"
10.1016/j.ejmech.2013.04.006,"Shobha Devi C., Anil Kumar D., Singh Surya S., Gabra Nazar, Deepika N., Kumar Y. Praveen, Satyanarayana S."
